,Coccion,T_desgrasante,Composicion,Densidad,Textura,Grosor₍mm),Tamaño(cm),Acabado_Interno,Acabado_Externo,Dureza,Ahumado,Tecnica,Elemento₁,Localizacion,Baño,Engobe,Cluster
356,0,2,0,0,0,9,3,1,2,1,0,0,0,0,0,0,2
357,0,2,0,0,0,4,4,1,2,1,0,0,0,0,0,0,2
358,0,2,2,0,0,9,3,1,1,1,0,0,0,0,0,0,2
359,0,2,1,0,1,6,3,1,1,0,0,0,0,0,0,0,2
360,0,2,6,0,0,6,3,2,2,1,2,0,0,0,0,0,1
361,1,2,0,0,0,4,2,1,1,0,0,0,0,0,0,0,2
362,0,2,6,0,0,5,2,1,1,0,0,0,0,0,0,0,1
363,1,2,4,0,0,6,3,1,1,0,0,0,0,0,0,0,1
364,0,2,0,0,0,5,3,1,2,1,2,0,0,0,0,0,2
365,0,2,2,0,0,7,2,1,1,1,0,0,0,0,0,0,2
366,0,2,5,0,0,8,2,1,1,1,0,0,0,0,0,0,1
